Repacking Date,Month,Week,WH,Raw material Code,Raw Des,Procesisng Type,Rpin,Container Number,Pallets Number,Count of Cartons/Bins,Total Bin Weight KG,Shrinkage Kgs,Shrinkage %,FG Code,FG Des,Units/carton,FG Specification,Carton/Pallet,FG Pallets,FG Carton,FG Unit,FG Weight,FG Standard Weight,Overweight KG,Defects KG,Rotted KG,Defect rate,Labor cost,FG Sample,Puntures,The Rate of Spoilted ,Bruise,The Rate of Cosmetic,JA Sample,Export Fruit,The Rate of Export Fruit,Remark,Processing Number,Juice Apple(KG),The Rate of Overweight KG,The Rate of Juice Apple(KG),Packout,Arrival Date,Arrival Date&Container Number,Container&RPIN,Month,DATE,Date&Rpin,Standard weight
12/03/2025,3,11,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R2710,TTNU8676052,"00394198062500134597
00394198062500130353
00394198062500134566
00394198062500128183
00394198062500134559",15,5145KG,-255KG,-0.049562682KG,ROC144916165140,Large Family Pack,9,9??,44,9.863636364,434,3906,4026.82KG,1.082KG,0KG,1091.18KG,27Kg,0.217333333Kg,6187,600,2,0.30%,1,0.20%,600,0,0.00%,,,1118.18,0.00%,21.73%,78.27%,250312,250312TTNU8676052,TTNU8676052R2710,3,250312,250312R2710,9.738
13/03/2025,3,11,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R2710,TTNU8676052,"00394198062500128114
00394198062500128121",6,2101KG,-59KG,-0.028081866KG,ROC144916165140,Large Family Pack,9,9??,44,2.840909091,125,1125,1532.25KG,1.082KG,315KG,557.75KG,11Kg,0.420633032Kg,1886,200,,,,,,,,,,568.75,14.99%,27.07%,57.94%,250312,250312TTNU8676052,TTNU8676052R2710,3,250313,250313R2710,9.738
11/03/2025,3,11,SZ,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R2710,TTNU8676052,"00394198062500134498
00394198062500134504
00394198062500128206
00394198062500128169
00394198062500134528
00394198062500134474
00394198062500134467
00394198062500134542",24,8281KG,-359KG,-0.043352252KG,ROC144916165140,Large Family Pack,9,9??,44,16.11363636,709,6381,6568.1KG,1.082KG,0KG,1698.9KG,14Kg,0.206846999Kg,"10,120.00",50,,,,,,,,,,1712.9,0.00%,20.68%,79.32%,250312,250312TTNU8676052,TTNU8676052R2710,3,250311,250311R2710,9.738
12/03/2025,3,11,SZ,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R2710,TTNU8676052,"00394198062500130971
00394198062500130988
00394198062500133347
00394198062500134511
00394198062500134603",15,5340KG,-60KG,-0.011235955KG,ROC144916165140,Large Family Pack,9,9??,44,9.613636364,423,3807,4292.65KG,1.082KG,173.476KG,1035.35KG,12Kg,0.228619101Kg,"5,750.00",50,,,,,,,,,,1047.35,3.25%,19.61%,77.14%,250312,250312TTNU8676052,TTNU8676052R2710,3,250312,250312R2710,9.738
16/03/2025,3,12,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R2919,SEKU9135417,’00394198062500108857,1,348KG,-12KG,-0.034482759KG,ROC144916165140,Large Family Pack,9,9??,44,0.613636364,27,243,252KG,1.082KG,0KG,89KG,7Kg,0.275862069Kg,10005,,,,,,,,,,,96,0.00%,27.59%,72.41%,250315,250315SEKU9135417,SEKU9135417R2919,3,250316,250316R2919,9.738
16/03/2025,3,12,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R2886,SEKU9135417,"00394198062500105085
00394198062500105092
00394198062500105122
00394198062500108857
00394198062500108949
00394198062500108963
00394198062500108987
00394198062500108994",23,7998KG,-282KG,-0.035258815KG,ROC144916165140,Large Family Pack,9,9??,44,13.20454545,581,5229,5649.2KG,1.082KG,0KG,1518.8KG,18Kg,0.192148037Kg,,800,,,,,,,,,,1536.8,0.00%,19.21%,80.79%,250315,250315SEKU9135417,SEKU9135417R2886,3,250316,250316R2886,9.738
16/03/2025,3,12,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R2886,SEKU9135417,,,,0KG,,JWM 650g,JWM 650G,13,13??,64,1.21875,78,1014,812KG,0KG,812KG,0KG,0Kg,,,,,,,,,,,,,0,,,100.00%,250315,250315SEKU9135417,SEKU9135417R2886,3,250316,250316R2886,0
17/03/2025,3,12,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R2886,SEKU9135417,‘00394198062500109014,3,1052KG,-28KG,-0.02661597KG,ROC144916165140,Large Family Pack,9,9??,44,1.818181818,80,720,731.8KG,1.082KG,0KG,316.2KG,4Kg,0.304372624Kg,"1,150.00",50,,,,,,,,,,320.2,0.00%,30.44%,69.56%,250315,250315SEKU9135417,SEKU9135417R2886,3,250317,250317R2886,9.738
17/03/2025,3,12,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R2925,SEKU9135417,"00394198062500109045
00394198062500109052",6,2077KG,-83KG,-0.039961483KG,ROC144916165140,Large Family Pack,9,9??,44,3.75,165,1485,1540KG,1.082KG,0KG,530KG,7Kg,0.25854598Kg,9775,100,,,,,,,,,,537,0.00%,25.85%,74.15%,250315,250315SEKU9135417,SEKU9135417R2925,3,250317,250317R2925,9.738
17/03/2025,3,12,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R2919,SEKU9135417,"00394198062500104927
00394198062500104934
00394198062500105023
00394198062500105061
00394198062500108833
00394198062500108840",18,6265KG,-215KG,-0.034317638KG,ROC144916165140,Large Family Pack,9,9??,44,10.70454545,471,4239,4657.5KG,1.082KG,70.902KG,1178.5KG,18Kg,0.202298803Kg,,400,,,,,,,,,,1196.5,1.13%,19.10%,79.77%,250315,250315SEKU9135417,SEKU9135417R2919,3,250317,250317R2919,9.738
