Container Number,Repacking Date,WH,Raw material ,Procesisng Type,Processing Type EN,Rpin,Pallets Number,Count of CartonsBins,Total Carton Weight KG,Total Bin Weight KG,FG ,FG Carton,Defects KG,Rotted KG,Month,Week,RM Code,RM Des,FG Code,FG Des,Unitcarton,Cartonpallet,Unitpallet,Act FG KG,FG STD KG,Material STD KG,Shrinkage Kgs,Over-weight kgs,Juice Apple kg,Packout,Shrinkage Kgs%,Over-weight kgs%,Juice Apple kg%,DATE&RPIN,Container&RPIN,Repacking Date&WH,Remark,????KG?,Defects KG ??
CGMU5559714,19/05/2025,SH,52-63mm Mixed bin ????,??,repacking,R1230,"00394198062555180003
00394198062555180002
00394198062555180001
00394198062550630003
00394198062550630002
00394198062550630001",5.4,0,1931KG,LFP ????,118,800KG,0Kg,5,Wk21,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,1131KG,9.72,360,-27.4KG,0KG,800,58.57%,1%,0%,41%,250519R1230,CGMU5559714R1230,20250519SH,,,
MNBU9063718,19/05/2025,SH,52-63mm Mixed bin ????,??,repacking,R1149,"00394198062560600008
00394198062562880002
00394198062562880001
00394198062562880006",3.2,0,1119KG,LFP ????,75,371.4KG,0Kg,5,Wk21,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),ROC144916165140,Rockit Apple 52-63 Family Pack 16T,9,44,396,747.6KG,9.72,360,-33KG,18.6KG,371,65.15%,3%,2%,33%,250519R1149,MNBU9063718R1149,20250519SH,,,
MNBU9063718,20/05/2025,SH,52-63mm Mixed bin ????,??,repacking,R1149,"00394198062562880006
00394198062560600006
00394198062562880004
00394198062560600007
00394198062560600004
00394198062560600005
00394198062560600003
00394198062562880005
00394198062562880003",8.8,0,3067KG,SFP ????,353,827KG,0Kg,5,Wk21,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),Rockit Apple SFP,Rockit Apple 52-58 Family Pack 10T,11,70,770,2240KG,6.63,360,-101KG,0KG,827,73.04%,3%,0%,27%,250520R1149,MNBU9063718R1149,20250520SH,,,
MNBU9063718,20/05/2025,SH,52-63mm Mixed bin ????,??,repacking,R1580,"00394198062570680002
00394198062570680004
00394198062579880005
00394198062570680003
00394198062579880003
00394198062579880004
00394198062565750007
00394198062565750008
00394198062565750009
00394198062570920009
00394198062579710001
00394198062570920008
00394198062570950001",13,0,4554KG,SFP ????,542,1103KG,0Kg,5,Wk21,ROC14033300140,Rockit Apple Mixed 52-63mm Export Bin (0/0M),Rockit Apple SFP,Rockit Apple 52-58 Family Pack 10T,11,70,770,3451KG,6.63,360,-126KG,0KG,"1,103",75.78%,3%,0%,24%,250520R1580,MNBU9063718R1580,20250520SH,,,
OERU4077210,21/05/2025,SH,63mmT bin,??,repacking,R1230,394198062500454000 ,3,0,1054.2KG,67/5 Rocki,105,299,0,5,Wk21,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),RK107515567170,Rockit Apple 67/5 Rocki,15,112,1680,754.7960265KG,7.85,360,-25.8KG,0KG,299,71.60%,2%,0%,28%,250521R1230,OERU4077210R1230,20250521SH,,,
PCIU6141958,21/05/2025,SH,63mmT bin,??,repacking,R1230,00394198062500456040,2,0,702.8KG,67/5 Rocki,70,199,0,5,Wk21,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),RK107515567170,Rockit Apple 67/5 Rocki,15,112,1680,503.197351KG,7.85,360,-17.2KG,0KG,200,71.60%,2%,0%,28%,250521R1230,PCIU6141958R1230,20250521SH,,,
PCIU6141958,21/05/2025,SH,63mmT bin,??,repacking,R2919,"00394198062500426975
00394198062500426999
00394198062500427811",9,0,3048KG,67/5 Rocki,305,869,1,5,Wk21,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),RK107515567170,Rockit Apple 67/5 Rocki,15,112,1680,2177.73245KG,7.85,360,-192KG,0KG,870,71.45%,6%,0%,29%,250521R2919,PCIU6141958R2919,20250521SH,,,
OERU4077210,21/05/2025,SH,63mmT bin,??,repacking,R2329,"00394198062593410009
0039419806259341000",1.2,0,433.84KG,67/5 Rocki,43,124,0,5,Wk21,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),RK107515567170,Rockit Apple 67/5 Rocki,15,112,1680,310.0863576KG,7.85,360,-12.56KG,0KG,124,71.47%,3%,0%,29%,250521R2329,OERU4077210R2329,20250521SH,,,
PCIU6141958,21/05/2025,SH,63mmT bin,??,repacking,R2850,00394198062500400395,2,0,702KG,67/5 Rocki,70,199,0,5,Wk21,ROC117818563117,Rockit Apple 63Tmm Export Bin (63/5W),RK107515567170,Rockit Apple 67/5 Rocki,15,112,1680,502.397351KG,7.85,360,-18KG,0KG,200,71.57%,3%,0%,28%,250521R2850,PCIU6141958R2850,20250521SH,,,
TEMU9902779,21/05/2025,SH,67mm bin,??,repacking,R1149,"00394198062558270003
00394198062558270002
00394198062558270001",3,0,1033KG,67/5 Rocki,105,299,0,5,Wk21,ROC170655067170,Rockit Apple 67mm Export Bin (67/0W),RK107515567170,Rockit Apple 67/5 Rocki,15,112,1680,733.5960265KG,7.85,360,-47KG,0KG,299,71.02%,5%,0%,29%,250521R1149,TEMU9902779R1149,20250521SH,,,
