OrderNo,RepackDate,Week,RawProductCode,RawProductDesc,Activity,PONOContainerNo,PalletLabelNo,RPIN,Batch,BinGrossKg,BinNetKg,ShrinkageBinKg,FGProductCode,FGProductDesc,TheoreticalBoxKg,FGWeight,FGCartons,CartonLabel,FGPalletNo,JuiceKgs,SecondaryFruitKgs,TallFruitKgs,FruitDirectlyDiscardedKgs,QualitySamples,NoOfPeople,Duration,Efficiency,DataRPINBatch,Month,Date,Inbound date,ClaimCabinetNumber,
2025WK12VXSHRP,20/03/2025,WEEK12,ROC117818563117,Rockit Apple 63Tmm Export Bin,??repacking,250045-MNBU4298793,SF002526670009,R1149,317,410.5,350.5,-9.5,ROC08016563117,Rockit Apple 63/5 Tall,5.8,,,,,0,,,,,,,,20250320R1149317,3,20250320,19/03/2025,normal,
2025WK12VXSHRP,20/03/2025,WEEK12,ROC117818563117,Rockit Apple 63Tmm Export Bin,??repacking,250045-MNBU4298793,SF002526670011,R1149,317,415,355,-5,ROC08016563117,Rockit Apple 63/5 Tall,5.8,,,,,0,,,,,,,,20250320R1149317,3,20250320,19/03/2025,normal,
2025WK12VXSHRP,20/03/2025,WEEK12,ROC117818563117,Rockit Apple 63Tmm Export Bin,??repacking,250045-MNBU4298793,SF002526670002,R1149,317,413,353,-7,ROC08016563117,Rockit Apple 63/5 Tall,5.8,,,,,0,,,,,,,,20250320R1149317,3,20250320,19/03/2025,normal,
2025WK12VXSHRP,20/03/2025,WEEK12,ROC117818563117,Rockit Apple 63Tmm Export Bin,??repacking,250045-MNBU4298793,SF002526670001,R1149,317,410,350,-10,ROC08016563117,Rockit Apple 63/5 Tall,5.8,,,,,0,,,,,,,,20250320R1149317,3,20250320,19/03/2025,normal,
2025WK12VXSHRP,20/03/2025,WEEK12,ROC117818563117,Rockit Apple 63Tmm Export Bin,??repacking,250045-MNBU4298793,SF002526670010,R1149,317,415,355,-5,ROC08016563117,Rockit Apple 63/5 Tall,5.8,,,,,0,,,,,,,,20250320R1149317,3,20250320,19/03/2025,normal,
2025WK12VXSHRP,20/03/2025,WEEK12,ROC117818563117,Rockit Apple 63Tmm Export Bin,??repacking,250045-MNBU4298793,SF002527290003,R1149,317,411,351,-9,ROC08016563117,Rockit Apple 63/5 Tall,5.8,,,,,0,,,,,,,,20250320R1149317,3,20250320,19/03/2025,normal,
2025WK12VXSHRP,20/03/2025,WEEK12,ROC117818563117,Rockit Apple 63Tmm Export Bin,??repacking,250045-MNBU4298793,SF002527290002,R1149,317,413.5,353.5,-6.5,ROC08016563117,Rockit Apple 63/5 Tall,5.8,,,,,0,,,,,,,,20250320R1149317,3,20250320,19/03/2025,normal,
2025WK12VXSHRP,20/03/2025,WEEK12,ROC117818563117,Rockit Apple 63Tmm Export Bin,??repacking,250045-MNBU4298793,SF002527290004,R1149,317,416.5,356.5,-3.5,ROC08016563117,Rockit Apple 63/5 Tall,5.8,,,,,0,,,,,,,,20250320R1149317,3,20250320,19/03/2025,normal,
2025WK12VXSHRP,20/03/2025,WEEK12,ROC117818563117,Rockit Apple 63Tmm Export Bin,??repacking,250045-MNBU4298793,SF002527680003,R1149,317,412.5,352.5,-7.5,ROC08016563117,Rockit Apple 63/5 Tall,5.8,,,,,0,,,,,,,,20250320R1149317,3,20250320,19/03/2025,normal,
2025WK12VXSHRP,20/03/2025,WEEK12,ROC117818563117,Rockit Apple 63Tmm Export Bin,??repacking,250045-MNBU4298793,SF002527680002,R1149,317,413.5,353.5,-6.5,ROC08016563117,Rockit Apple 63/5 Tall,5.8,,,,,0,,,,,,,,20250320R1149317,3,20250320,19/03/2025,normal,
2025WK12VXSHRP,20/03/2025,WEEK12,ROC117818563117,Rockit Apple 63Tmm Export Bin,??repacking,250045-MNBU4298793,SF002527290008,R1149,317,410.5,350.5,-9.5,ROC08016563117,Rockit Apple 63/5 Tall,5.8,,,,,0,,,,,,,,20250320R1149317,3,20250320,19/03/2025,normal,
2025WK12VXSHRP,20/03/2025,WEEK12,ROC117818563117,Rockit Apple 63Tmm Export Bin,??repacking,250045-MNBU4298793,SF002526750001,R1149,317,407.5,347.5,-12.5,ROC08016563117,Rockit Apple 63/5 Tall,5.8,,,,,0,,,,,,,,20250320R1149317,3,20250320,19/03/2025,normal,
2025WK12VXSHRP,20/03/2025,WEEK12,ROC117818563117,Rockit Apple 63Tmm Export Bin,??repacking,250045-MNBU4298793,SF002528180002,R1149,317,411.5,351.5,-8.5,ROC08016563117,Rockit Apple 63/5 Tall,5.8,,,,,0,,,,,,,,20250320R1149317,3,20250320,19/03/2025,normal,
2025WK12VXSHRP,20/03/2025,WEEK12,ROC117818563117,Rockit Apple 63Tmm Export Bin,??repacking,250045-MNBU4298793,SF002528180001,R1149,317,416,356,-4,ROC08016563117,Rockit Apple 63/5 Tall,5.8,,,,,0,,,,,,,,20250320R1149317,3,20250320,19/03/2025,normal,
